ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.08980044345898,0.00443458980044346,0.057649667405765,0.273835920177384,0.574279379157428
2,0.518392112248768,0.00189609404626469,0.0314751611679939,0.319302237390975,0.128934395145999
3,0.744448772886638,0.00116867939228672,0.00584339696143358,0.0327230229840281,0.215816127775614
4,0.08980044345898,0.00443458980044346,0.057649667405765,0.273835920177384,0.574279379157428
5,0.293639674978986,0.00252171476604091,0.0630428691510227,0.424768842813113,0.216026898290838
6,0.293639674978986,0.00252171476604091,0.0630428691510227,0.424768842813113,0.216026898290838
7,0.296178343949045,0.00424628450106157,0.0488322717622081,0.21656050955414,0.434182590233546
8,0.744448772886638,0.00116867939228672,0.00584339696143358,0.0327230229840281,0.215816127775614
9,0.781542898341745,0,0.00360490266762797,0.172314347512617,0.0425378514780101
10,0.617071724955542,0.000889152341434499,0.0133372851215175,0.163011262596325,0.205690574985181
11,0.617071724955542,0.000889152341434499,0.0133372851215175,0.163011262596325,0.205690574985181
12,0.0374384236453202,0.00295566502463054,0.164532019704433,0.445320197044335,0.349753694581281
13,0.617071724955542,0.000889152341434499,0.0133372851215175,0.163011262596325,0.205690574985181
14,0.489711934156379,0.00411522633744856,0.0534979423868313,0.0637860082304527,0.388888888888889
15,0.781542898341745,0,0.00360490266762797,0.172314347512617,0.0425378514780101
16,0.781542898341745,0,0.00360490266762797,0.172314347512617,0.0425378514780101
17,0.293639674978986,0.00252171476604091,0.0630428691510227,0.424768842813113,0.216026898290838
18,0.429179978700745,0.00106496272630458,0.0362087326943557,0.479233226837061,0.0543130990415335
19,0.296178343949045,0.00424628450106157,0.0488322717622081,0.21656050955414,0.434182590233546
20,0.00234466588511137,0.0140679953106682,0.35873388042204,0.0152403282532239,0.609613130128957
21,0.429179978700745,0.00106496272630458,0.0362087326943557,0.479233226837061,0.0543130990415335
22,0,0.0204761904761905,0.0347619047619048,0.0133333333333333,0.931428571428571
23,0.617071724955542,0.000889152341434499,0.0133372851215175,0.163011262596325,0.205690574985181
24,0,0.0204761904761905,0.0347619047619048,0.0133333333333333,0.931428571428571
25,0.617071724955542,0.000889152341434499,0.0133372851215175,0.163011262596325,0.205690574985181
26,0.744448772886638,0.00116867939228672,0.00584339696143358,0.0327230229840281,0.215816127775614
27,0.744448772886638,0.00116867939228672,0.00584339696143358,0.0327230229840281,0.215816127775614
28,0.00511390051139005,0.0251046025104603,0.144583914458391,0.0130172013017201,0.812180381218038
29,0.293639674978986,0.00252171476604091,0.0630428691510227,0.424768842813113,0.216026898290838
30,0.293639674978986,0.00252171476604091,0.0630428691510227,0.424768842813113,0.216026898290838
31,0.489711934156379,0.00411522633744856,0.0534979423868313,0.0637860082304527,0.388888888888889
32,0.617071724955542,0.000889152341434499,0.0133372851215175,0.163011262596325,0.205690574985181
33,0.0982456140350877,0.0280701754385965,0.312280701754386,0.056140350877193,0.505263157894737
34,0.890818858560794,0.00124069478908189,0.00372208436724566,0.0285359801488834,0.075682382133995
35,0.268408551068884,0.0391923990498812,0.0534441805225653,0.00712589073634204,0.631828978622328
36,0.617071724955542,0.000889152341434499,0.0133372851215175,0.163011262596325,0.205690574985181
37,0.0982456140350877,0.0280701754385965,0.312280701754386,0.056140350877193,0.505263157894737
38,0.617071724955542,0.000889152341434499,0.0133372851215175,0.163011262596325,0.205690574985181
39,0.293639674978986,0.00252171476604091,0.0630428691510227,0.424768842813113,0.216026898290838
40,0.710455764075067,0,0.00268096514745308,0.0214477211796247,0.265415549597855
41,0.08980044345898,0.00443458980044346,0.057649667405765,0.273835920177384,0.574279379157428
